zio	qhandziwTuan	qhandziwDriang	zyephengTuan	zyephengDriang	xruek
194	鬼	鬼部	KYÚI	KYÚI‐bú	10
195	魚	魚部	ŊIO	ŊIO‐bú	11
196	鳥	鳥部	TÉU	TÉU‐bú	11
197	鹵	鹵部	LÓ	LÓ‐bú	11
198	鹿	鹿部	LUK	LUK‐bú	11
199	麥	麥部	MREK	MREK‐bú	11
200	麻	麻部	MRA	MRA‐bú	11
201	黄	黄部	XUAŊ	XUAŊ‐bú	12
202	黍	黍部	SHIÓ	SHIÓ‐bú (黍)	12
203	黑	黑部	QHƏK	QHƏK‐bú	12
204	黹	黹部	TRÍ	TRÍ‐bú (黹)	12
205	黽	黽部	MRÉŊ	MRÉŊ‐bú	13
206	鼎	鼎部	TÉŊ	TÉŊ‐bú	13
207	鼓	鼓部	KÓ	KÓ‐bú	13
208	鼠	鼠部	SHIÓ	SHIÓ‐bú (鼠)	13
209	鼻	鼻部	BÎ	BÎ‐bú	14
210	齊	齊部	DZEI	DZEI‐bú	14
211	齒	齒部	THIƏ́	THIƏ́‐bú	15
212	龍	龍部	LYOŊ	LYOŊ‐bú	16
213	龜	龜部	KRYI	KRYI‐bú	16
214	龠	龠部	JIAK	JIAK‐bú	17
