pieutiwbyo	dziwbyo	dziwbyoNguaidziw	syenjyongdziw	krenqhruadziw	nitpundziw	thongqitmra
0913A	鄺			邝		U+913A
0914A	酊					U+914A
0914C	酌					U+914C
0914D	配					U+914D
0914E	酎					U+914E
09153	酓					U+9153
09157	酗					U+9157
09158	酘					U+9158
09164	酤					U+9164
09165	酥					U+9165
09167	酧		酬			U+9167
09169	酩					U+9169
0916A	酪					U+916A
0916C	酬					U+916C
0916E	酮					U+916E
09172	酲					U+9172
09174	酴					U+9174
09175	酵					U+9175
09177	酷					U+9177
09178	酸					U+9178
09190	醐					U+9190
09192	醒					U+9192
0919C	醜			丑		U+919C
0919D	醝					U+919D
091A2	醢					U+91A2
091AB	醫			医	医	U+91AB
091AC	醬			酱		U+91AC
091B4	醴					U+91B4
091B7	醷					U+91B7
091C2	釂					U+91C2
091C7	采					U+91C7
091C9	釉					U+91C9
091CC	里					U+91CC
091CD	重					U+91CD
091CE	野					U+91CE
091CF	量					U+91CF
091D0	釐			厘		U+91D0
091D1	金					U+91D1
091D8	釘			钉		U+91D8
091DC	釜					U+91DC
091DD	針			针		U+91DD
091E6	釦		扣			U+91E6
091E7	釧			钏		U+91E7
091EA	釪					U+91EA
091EC	釬		焊			U+91EC
091ED	釭					U+91ED
09201	鈁			钫		U+9201
09203	鈃			钘		U+9203
09204	鈄			钭		U+9204
09205	鈅					U+9205
09209	鈉			钠		U+9209
0920E	鈎			钩		U+920E
09210	鈐			钤		U+9210
09214	鈔			钞		U+9214
09215	鈕			钮		U+9215
09237	鈷			钴		U+9237
0923F	鈿			钿		U+923F
09244	鉄					U+9244
09245	鉅			钜		U+9245
09249	鉉			铉		U+9249
0924B	鉋		刨			U+924B
0925B	鉛			铅		U+925B
0925E	鉞			钺		U+925E
09262	鉢			钵		U+9262
09265	鉥			𬬸		U+9265
09266	鉦			钲		U+9266
0926E	鉮			𬬹		U+926E
09276	鉶			铏		U+9276
09278	鉸			铰		U+9278
0927B	鉻			铬		U+927B
0927F	鉿			铪		U+927F
09280	銀			银		U+9280
09283	銃			铳		U+9283
09285	銅			铜		U+9285
0928D	銍			铚		U+928D
0928E	銎					U+928E
09291	銑			铣		U+9291
09293	銓			铨		U+9293
09296	銖			铢		U+9296
09297	銗					U+9297
09298	銘			铭		U+9298
0929B	銛					U+929B
0929C	銜			衔		U+929C
092B6	銶			𨱇		U+92B6
092B7	銷			销		U+92B7
092C1	鋁			铝		U+92C1
092C3	鋃			锒		U+92C3
092D9	鋙			铻		U+92D9
092E5	鋥			锃		U+92E5
092E9	鋩					U+92E9
092F0	鋰			锂		U+92F0
092F8	鋸			锯		U+92F8
092FC	鋼			钢		U+92FC
09306	錆			锖		U+9306
09315	錕			锟		U+9315
0931A	錚			铮		U+931A
09320	錠			锭		U+9320
09321	錡			锜		U+9321
09326	錦			锦		U+9326
0932E	錮			锢		U+932E
0932F	錯			错		U+932F
0934D	鍍			镀		U+934D
09370	鍰			锾		U+9370
09371	鍱					U+9371
0938A	鎊			镑		U+938A
09394	鎔			镕		U+9394
09396	鎖			锁		U+9396
09398	鎘			镉		U+9398
0939A	鎚		錘	锤		U+939A
0939B	鎛			镈		U+939B
093A1	鎡			镃		U+93A1
093B0	鎰			镒		U+93B0
093C8	鏈			链		U+93C8
093CA	鏊					U+93CA
093D6	鏖					U+93D6
093D7	鏗			铿		U+93D7
093D8	鏘			锵		U+93D8
093DE	鏞			镛		U+93DE
093E1	鏡			镜		U+93E1
093F5	鏵			铧		U+93F5
093F9	鏹			镪		U+93F9
09404	鐄			𨱑		U+9404
0940D	鐍			𫔎		U+940D
0940F	鐏			𨱔		U+940F
09413	鐓			镦		U+9413
09436	鐶			镮		U+9436
09452	鑒			鉴	鑑	U+9452
0945B	鑛		礦	矿	鉱	U+945B
0945E	鑞			镴		U+945E
0946A	鑪		爐	炉		U+946A
09470	鑰			钥		U+9470
09475	鑵		罐			U+9475
09577	長			长		U+9577
09580	門			门		U+9580
09586	閆			闫		U+9586
09588	閈					U+9588
09589	閉			闭		U+9589
0958B	開			开		U+958B
0958F	閏			闰		U+958F
09591	閑			闲		U+9591
09592	閒		閑	闲		U+9592
09593	間			间		U+9593
09594	閔			闵		U+9594
095A3	閣			阁		U+95A3
095A4	閤			阁		U+95A4
095A8	閨			闺		U+95A8
095A9	閩			闽		U+95A9
095AB	閫			阃		U+95AB
095AC	閬			阆		U+95AC
095AD	閭			闾		U+95AD
095B2	閲			阅		U+95B2
095B5	閵					U+95B5
095C7	闇		暗			U+95C7
095C9	闉			𬮱		U+95C9
095CC	闌			阑		U+95CC
095CD	闍			阇		U+95CD
095D5	闕			阙		U+95D5
095DA	闚		窺	窥		U+95DA
